id;the_geom;ID;POJEMNOSC
handel_region.11;MULTIPOLYGON (((616780.1 475677.44499999937, 616738.55 475632.2649999994, 616734.08 475627.41999999934, 616722.71 475615.05999999936, 616711.25 475602.56499999936, 616705.94 475605.1449999994, 616655.8099999999 475655.60499999934, 616617.17 475695.68499999936, 616586.78 475682.42499999935, 616581.02 475743.2049999994, 616580.15 475750.73499999935, 616577.78 475759.6449999994, 616573.55 475767.3999999994, 616605.5599999999 475784.8449999994, 616613.39 475772.93499999936, 616617.47 475770.74499999936, 616626.26 475769.81499999936, 616693.64 475805.8449999994, 616712 475772.7099999994, 616703.8099999999 475767.7749999994, 616766.03 475704.5799999994, 616786.19 475684.0749999994, 616780.1 475677.44499999937)));11;1469
handel_region.12;MULTIPOLYGON (((627220.73 473689.68999999936, 627225.5599999999 473693.75499999936, 627268.1 473725.3449999994, 627277.13 473732.06499999936, 627294.92 473688.38499999937, 627316.04 473632.55499999935, 627327.5 473601.2649999994, 627259.76 473579.24499999936, 627247.04 473615.2149999994, 627232.73 473655.6999999994, 627220.73 473689.68999999936)));12;599
handel_region.13;MULTIPOLYGON (((626666.24 480254.0199999994, 626666.12 480247.2699999994, 626665.04 480197.3349999994, 626664.95 480193.10499999934, 626596.28 480195.11499999935, 626600.1799999999 480229.92999999935, 626601.32 480240.4749999994, 626602.1 480247.86999999936, 626602.94 480255.5349999994, 626666.24 480254.0199999994)));13;266
handel_region.14;MULTIPOLYGON (((624841.79 480065.12499999936, 624808.37 480056.4549999994, 624801.92 480054.92499999935, 624742.58 480040.8249999994, 624741.38 480044.0199999994, 624739.7 480048.0399999994, 624736.13 480055.31499999936, 624734.57 480060.4599999994, 624729.95 480075.5799999994, 624758.72 480099.30999999936, 624773.96 480107.0349999994, 624784.22 480111.7749999994, 624793.22 480112.73499999935, 624795.29 480095.3949999994, 624796.07 480090.8949999994, 624815.69 480093.30999999936, 624825.89 480094.56999999937, 624830.66 480094.92999999935, 624837.65 480095.4549999994, 624838.82 480086.91999999934, 624840.6799999999 480073.2249999994, 624841.79 480065.12499999936)));14;317
handel_region.15;MULTIPOLYGON (((623334.02 471468.93999999936, 623346.86 471462.23499999935, 623354.63 471344.69499999937, 623336.1799999999 471344.00499999936, 623303.96 471348.62499999936, 623304.92 471352.4499999994, 623334.02 471468.93999999936)));15;259
handel_region.16;MULTIPOLYGON (((623487.65 470992.2849999994, 623498.75 471009.7749999994, 623511.92 471026.87499999936, 623518.1 471033.86499999935, 623564.1799999999 471011.7849999994, 623563.04 471007.55499999935, 623573.24 471004.9749999994, 623580.71 471002.8449999994, 623586.62 471001.2699999994, 623591.96 470984.5149999994, 623599.37 470982.5799999994, 623626.37 470975.5749999994, 623642 470970.7899999994, 623628.14 470938.80999999936, 623625.95 470933.99499999936, 623609.54 470938.35999999935, 623589.14 470943.50499999936, 623526.11 470959.5249999994, 623525.8099999999 470959.5849999994, 623530.97 470978.5149999994, 623530.61 470978.6049999994, 623525.84 470979.8949999994, 623504.78 470985.56499999936, 623501.24 470983.73499999935, 623487.65 470992.2849999994)));16;469
handel_region.17;MULTIPOLYGON (((625017.71 473411.69499999937, 625011.8 473413.2849999994, 625007.15 473416.79499999934, 625004.33 473421.2049999994, 625003.16 473425.8549999994, 625003.76 473431.8549999994, 624876.05 473597.42499999935, 624866.54 473625.17499999935, 624980.12 473717.93499999936, 625005.2 473737.0749999994, 625016.87 473722.6599999994, 625089.5599999999 473623.8549999994, 625102.55 473604.9549999994, 625137.14 473552.79999999935, 625139.48 473549.24499999936, 625162.22 473512.56999999937, 625167.26 473504.2749999994, 625195.76 473457.2649999994, 625212.5 473429.43999999936, 625236.41 473372.4699999994, 625258.16 473325.99999999936, 625259.54 473317.0899999994, 625260.23 473314.23999999935, 625260.83 473310.86499999935, 625264.25 473289.98499999935, 625279.7 473275.05999999936, 625290.92 473264.2149999994, 625304 473251.55499999935, 625322.15 473234.00499999936, 625328.03 473228.3349999994, 625355.6 473201.67999999935, 625372.97 473184.86499999935, 625381.01 473190.6999999994, 625385.75 473192.91999999934, 625397.69 473191.5399999994, 625415.1799999999 473181.80499999935, 625444.64 473160.1449999994, 625466.3 473143.4799999994, 625489.64 473121.24999999936, 625514.09 473092.0899999994, 625539.35 473054.0349999994, 625544.09 473043.18999999936, 625542.41 473034.0249999994, 625533.53 473024.5749999994, 625549.85 473007.18999999936, 625552.19 473004.4149999994, 625557.44 473010.11499999935, 625566.59 473001.4149999994, 625566.59 472993.25499999936, 625634.72 472922.49999999936, 625571.8099999999 472859.4549999994, 625527.86 472815.42999999935, 625410.41 472697.73999999935, 625064.15 473045.3949999994, 625039.4299999999 473072.3349999994, 625046.54 473079.5349999994, 625060.49 473093.6499999994, 625177.91 473212.4799999994, 625174.1 473216.5749999994, 625167.71 473215.2099999994, 625160.78 473216.43999999936, 625156.46 473220.42999999935, 625153.64 473224.29999999935, 625152.62 473229.29499999934, 625152.92 473233.5849999994, 625132.85 473261.5149999994, 625017.71 473411.69499999937)));17;17417
handel_region.18;MULTIPOLYGON (((625753.4 480471.42999999935, 625787.33 480461.75499999936, 625811.42 480454.5999999994, 625823.54 480450.4749999994, 625839.6799999999 480445.5849999994, 625854.6799999999 480440.7699999994, 625866.26 480437.06499999936, 625884.6799999999 480431.3349999994, 625893.11 480428.7249999994, 625874.03 480362.67999999935, 625863.83 480327.44499999937, 625863.08 480323.25999999937, 625859.96 480313.10499999934, 625856.27 480303.7899999994, 625846.1 480269.12499999936, 625844.51 480263.69499999937, 625841.69 480254.12499999936, 625840.3099999999 480249.0399999994, 625832.69 480250.9749999994, 625821.02 480214.37499999936, 625812.65 480217.5849999994, 625810.79 480213.0999999994, 625752.2 480225.62499999936, 625743.6799999999 480227.8449999994, 625740.02 480228.7749999994, 625740.17 480233.4549999994, 625736.75 480235.73499999935, 625751.54 480285.56499999936, 625703.39 480300.0849999994, 625717.01 480348.5799999994, 625719.5599999999 480358.61499999935, 625726.55 480380.9649999994, 625753.4 480471.42999999935)));18;2058
handel_region.19;MULTIPOLYGON (((623322.6799999999 478561.23999999935, 623333.15 478545.62499999936, 623331.65 478544.0949999994, 623323.34 478535.7249999994, 623326.1 478532.67999999935, 623330.12 478528.68999999936, 623340.92 478517.42499999935, 623372.15 478484.69499999937, 623407.73 478447.4649999994, 623417.9 478439.93499999936, 623390.57 478366.23999999935, 623369.1799999999 478388.48499999935, 623355.95 478402.25499999936, 623342.39 478388.7099999994, 623337.2 478397.06499999936, 623325.2 478412.48499999935, 623313.8 478425.06999999937, 623279.33 478460.99499999936, 623263.07 478478.2149999994, 623255.45 478486.37499999936, 623254.07 478493.87499999936, 623322.6799999999 478561.23999999935)));19;936
handel_region.20;MULTIPOLYGON (((623497.67 478558.31499999936, 623534.9 478543.47999999934, 623526.86 478518.5949999994, 623506.91 478458.87999999936, 623492.0599999999 478464.8949999994, 623473.04 478414.5849999994, 623489.6 478407.9549999994, 623483.57 478390.4649999994, 623446.1 478282.1649999994, 623425.07 478219.0149999994, 623412.95 478223.9049999994, 623392.46 478232.1549999994, 623416.76 478299.86499999935, 623461.19 478432.0749999994, 623492.78 478527.6549999994, 623488.58 478529.00499999936, 623497.67 478558.31499999936)));20;734
