id;the_geom;ID;POJEMNOSC
handel_region.293;MULTIPOLYGON (((622809.6799999999 470083.43499999936, 622798.4299999999 470077.2249999994, 622794.5 470084.5149999994, 622805.63 470090.7099999994, 622809.6799999999 470083.43499999936)));293;7
handel_region.294;MULTIPOLYGON (((622020.98 469980.5799999994, 622010.0599999999 469976.2299999994, 622005.26 469988.2899999994, 622016.18 469992.6549999994, 622020.98 469980.5799999994)));294;10
handel_region.295;MULTIPOLYGON (((625415.3 469994.2149999994, 625410.83 469989.56499999936, 625397.48 470002.31499999936, 625401.98 470006.9649999994, 625415.3 469994.2149999994)));295;8
handel_region.296;MULTIPOLYGON (((626299.4299999999 480237.56499999936, 626289.05 480233.36499999935, 626288.6 480234.17499999935, 626277.86 480229.61499999935, 626273.51 480240.42999999935, 626273.72 480240.5199999994, 626272.4 480243.75999999937, 626284.34 480248.5149999994, 626293.52 480252.2049999994, 626299.4299999999 480237.56499999936)));296;23
handel_region.297;MULTIPOLYGON (((626571.17 480136.5849999994, 626581.64 480135.4149999994, 626580.02 480121.13499999937, 626579.03 480112.5849999994, 626579.6 480112.5249999994, 626578.97 480107.00499999936, 626574.17 480101.7249999994, 626567.33 480102.50499999936, 626571.17 480136.5849999994)));297;24
handel_region.298;MULTIPOLYGON (((626391.05 480151.29999999935, 626389.4 480139.2699999994, 626362.37 480142.5849999994, 626363.9299999999 480154.62999999936, 626391.05 480151.29999999935)));298;22
handel_region.299;MULTIPOLYGON (((627093.41 479847.17499999935, 627094.46 479850.11499999935, 627095.0599999999 479851.80999999936, 627095.24 479852.31999999937, 627096.35 479855.7849999994, 627096.47 479856.23499999935, 627097.01 479857.94499999937, 627100.82 479859.0249999994, 627104.9 479857.6599999994, 627105.92 479854.9149999994, 627101.78 479842.41999999934, 627100.37 479842.88499999937, 627096.89 479844.0399999994, 627097.49 479845.7199999994, 627093.41 479847.17499999935)));299;9
handel_region.300;MULTIPOLYGON (((627896.84 480625.73499999935, 627893.3 480614.91999999934, 627883.82 480617.8899999994, 627887.21 480628.8249999994, 627896.84 480625.73499999935)));300;8
handel_region.301;MULTIPOLYGON (((624760.13 475686.7149999994, 624752.6 475688.67999999935, 624755.6 475700.12499999936, 624763.13 475698.17499999935, 624760.13 475686.7149999994)));301;6
handel_region.302;MULTIPOLYGON (((628533.35 474778.8999999994, 628542.38 474776.63499999937, 628540.4299999999 474768.7749999994, 628531.37 474771.0399999994, 628531.64 474772.1049999994, 628533.35 474778.8999999994)));302;5
handel_region.303;MULTIPOLYGON (((624259.3099999999 472838.30499999935, 624258.89 472831.68999999936, 624245.24 472832.42499999935, 624245.21 472831.9149999994, 624235.7 472832.36499999935, 624236.9299999999 472858.0149999994, 624246.41 472857.4749999994, 624246.38 472856.9799999994, 624258.05 472856.42499999935, 624257.27 472839.86499999935, 624251.9299999999 472840.1049999994, 624251.84 472838.6649999994, 624259.3099999999 472838.30499999935)));303;36
handel_region.304;MULTIPOLYGON (((624224.15 472835.55999999936, 624223.94 472829.30499999935, 624198.32 472830.1449999994, 624198.6799999999 472836.38499999937, 624224.15 472835.55999999936)));304;11
handel_region.305;MULTIPOLYGON (((624940.73 470677.4799999994, 624934.4299999999 470671.04499999934, 624926.6 470678.75499999936, 624932.96 470685.17499999935, 624940.73 470677.4799999994)));305;7
handel_region.306;MULTIPOLYGON (((624510.59 471757.1649999994, 624510.6799999999 471758.10999999935, 624519.6799999999 471757.55499999935, 624519.23 471749.3499999994, 624510.26 471749.99499999936, 624510.59 471757.1649999994)));306;5
handel_region.307;MULTIPOLYGON (((624569.8099999999 471802.73499999935, 624567.11 471761.9649999994, 624525.08 471764.5149999994, 624525.71 471774.48999999935, 624548.87 471790.79499999934, 624549.74 471804.0849999994, 624569.8099999999 471802.73499999935)));307;82
handel_region.308;MULTIPOLYGON (((624510.26 471749.99499999936, 624510.17 471748.1649999994, 624508.79 471746.7849999994, 624505.19 471747.0249999994, 624503.9299999999 471748.5249999994, 624503.9299999999 471748.9149999994, 624502.4299999999 471749.0349999994, 624503 471755.9049999994, 624504.38 471755.7849999994, 624504.47 471756.2799999994, 624506 471757.4649999994, 624510.59 471757.1649999994, 624510.26 471749.99499999936)));308;5
handel_region.309;MULTIPOLYGON (((624199.37 471343.3899999994, 624187.55 471330.2049999994, 624179.1799999999 471337.61499999935, 624190.97 471350.75499999936, 624199.37 471343.3899999994)));309;13
handel_region.310;MULTIPOLYGON (((618224.0599999999 475616.8299999994, 618220.16 475618.41999999934, 618214.88 475620.60999999935, 618222.14 475638.92499999935, 618227.45 475636.8399999994, 618234.62 475634.0199999994, 618237.98 475632.6999999994, 618233.48 475620.9549999994, 618230.15 475622.2749999994, 618226.79 475623.60999999935, 618224.0599999999 475616.8299999994)));310;19
handel_region.311;MULTIPOLYGON (((623295.35 477977.12499999936, 623295.6799999999 477978.1449999994, 623338.22 477964.19499999937, 623334.95 477954.1599999994, 623292.38 477968.12499999936, 623287.94 477969.54999999935, 623290.85 477978.5949999994, 623295.35 477977.12499999936)));311;34
handel_region.312;MULTIPOLYGON (((621928.25 480850.29999999935, 621925.07 480855.9549999994, 621933.5599999999 480860.7249999994, 621936.74 480855.05499999935, 621928.25 480850.29999999935)));312;4
handel_region.313;MULTIPOLYGON (((627002.9 474942.8349999994, 627004.58 474933.3999999994, 627004.04 474933.3249999994, 626994.41 474931.50999999937, 626992.7 474941.0199999994, 627002.9 474942.8349999994)));313;7
handel_region.314;MULTIPOLYGON (((626425.3099999999 477036.74499999936, 626421.14 477034.0149999994, 626417.15 477034.29999999935, 626412.47 477036.4149999994, 626409.92 477041.00499999936, 626409.6799999999 477045.54999999935, 626412.5 477049.7649999994, 626415.83 477052.41999999934, 626420.57 477052.23999999935, 626422.61 477051.12999999936, 626424.6799999999 477050.0199999994, 626427.2 477046.2249999994, 626427.41 477046.3899999994, 626425.3099999999 477036.74499999936)));314;16
handel_region.315;MULTIPOLYGON (((624259.04 477036.62499999936, 624252.74 477038.06499999936, 624254.3 477044.97999999934, 624251 477045.74499999936, 624253.25 477055.5999999994, 624262.52 477053.48499999935, 624259.04 477036.62499999936)));315;9
handel_region.316;MULTIPOLYGON (((624067.25 478954.05999999936, 624024.65 478969.7649999994, 624024.53 478969.43499999936, 624017.78 478972.0149999994, 624022.01 478983.12999999936, 624077.36 478963.2099999994, 624076.22 478959.68499999936, 624075.5 478957.56999999937, 624069.17 478959.72999999934, 624067.25 478954.05999999936)));316;44
handel_region.317;MULTIPOLYGON (((624194.75 478817.1549999994, 624192.11 478819.10499999934, 624191.84 478822.0149999994, 624188.9299999999 478823.63499999937, 624189.32 478824.38499999937, 624184.34 478827.0249999994, 624187.37 478832.7099999994, 624192.35 478830.06999999937, 624190.52 478826.63499999937, 624191.78 478825.9599999994, 624193.19 478828.67499999935, 624197.9299999999 478826.2149999994, 624196.28 478823.0799999994, 624198.08 478820.81499999936, 624196.97 478817.75499999936, 624194.75 478817.1549999994)));317;6
handel_region.318;MULTIPOLYGON (((617476.73 476664.9549999994, 617478.38 476673.50499999936, 617479.3099999999 476678.30499999935, 617482.43 476677.7049999994, 617481.5 476672.9049999994, 617479.88 476664.35499999934, 617478.8 476658.75999999937, 617477.8099999999 476653.5849999994, 617476.94 476649.0999999994, 617473.82 476649.6999999994, 617474.66 476654.1999999994, 617475.68 476659.35999999935, 617476.73 476664.9549999994)));318;6
handel_region.319;MULTIPOLYGON (((623651.6 478983.29499999934, 623659.85 478980.5349999994, 623658.65 478977.38499999937, 623657.57 478974.56499999936, 623656.52 478971.7749999994, 623655.44 478968.9549999994, 623654.39 478966.19499999937, 623653.49 478963.8249999994, 623659.07 478961.75499999936, 623658.08 478958.85999999935, 623649.83 478961.87499999936, 623649.59 478961.36499999935, 623647.46 478962.2649999994, 623644.13 478963.5249999994, 623646.02 478968.98499999935, 623647.1 478971.74499999936, 623648.1799999999 478974.56499999936, 623649.29 478977.2799999994, 623650.07 478979.3349999994, 623651.6 478983.29499999934)));319;14
handel_region.320;MULTIPOLYGON (((620036.21 477612.5349999994, 620030.87 477614.1549999994, 620030.6 477613.35999999935, 620022.08 477615.9699999994, 620024.66 477624.4149999994, 620033.21 477621.80499999935, 620033.24 477621.98499999935, 620038.61 477620.3349999994, 620036.21 477612.5349999994)));320;8
handel_region.321;MULTIPOLYGON (((625307.42 480607.4499999994, 625310.42 480617.0799999994, 625315.55 480615.48999999935, 625314.95 480613.6449999994, 625312.52 480605.8449999994, 625316.84 480604.41999999934, 625315.3099999999 480599.6499999994, 625311.92 480600.72999999934, 625306.07 480602.6499999994, 625307.42 480607.4499999994)));321;7
handel_region.322;MULTIPOLYGON (((626775.47 480516.8499999994, 626767.79 480518.12499999936, 626770.3099999999 480533.48499999935, 626772.11 480544.55499999935, 626784.08 480542.5749999994, 626783.39 480538.3449999994, 626782.64 480538.0299999994, 626782.34 480536.18499999936, 626783.03 480535.5849999994, 626782.34 480531.4149999994, 626780.3 480531.74499999936, 626778.17 480518.8299999994, 626775.47 480516.8499999994)));322;19
handel_region.323;MULTIPOLYGON (((621278.84 481277.9499999994, 621274.67 481269.3399999994, 621269.12 481272.0849999994, 621273.05 481280.5899999994, 621278.84 481277.9499999994)));323;4
handel_region.324;MULTIPOLYGON (((621706.1 481028.63499999937, 621687.44 481017.62499999936, 621684.53 481022.9499999994, 621702.98 481033.8399999994, 621706.1 481028.63499999937)));324;9
handel_region.325;MULTIPOLYGON (((621175.64 479789.22999999934, 621170.63 479791.23999999935, 621174.32 479800.55499999935, 621179.09 479798.7099999994, 621177.29 479793.7749999994, 621175.64 479789.22999999934)));325;4
handel_region.326;MULTIPOLYGON (((621081.5 479937.5799999994, 621093.08 479933.06499999936, 621085.19 479912.7249999994, 621073.67 479917.2249999994, 621081.5 479937.5799999994)));326;18
handel_region.327;MULTIPOLYGON (((621673.55 481205.75499999936, 621662.87 481178.9649999994, 621648.71 481184.93499999936, 621659.27 481211.24499999936, 621673.55 481205.75499999936)));327;29
handel_region.328;MULTIPOLYGON (((623486.3 480377.61999999936, 623497.94 480373.94499999937, 623497.85 480373.68999999936, 623496.32 480368.9499999994, 623484.71 480372.4749999994, 623486.3 480377.61999999936)));328;4
handel_region.329;MULTIPOLYGON (((623531.63 480335.0349999994, 623539.91 480332.30499999935, 623535.38 480317.93499999936, 623527.58 480320.49999999936, 623530.46 480329.22999999934, 623529.8 480329.42499999935, 623531.63 480335.0349999994)));329;8
handel_region.330;MULTIPOLYGON (((621008.8099999999 480251.22999999934, 621001.28 480254.3949999994, 621002.69 480257.7699999994, 621005.39 480256.62999999936, 621007.49 480261.54999999935, 621012.17 480259.5399999994, 621010.16 480254.60499999934, 621008.8099999999 480251.22999999934)));330;4
handel_region.331;MULTIPOLYGON (((622468.49 478603.4499999994, 622465.94 478604.2899999994, 622465.97 478604.5149999994, 622463.57 478605.1599999994, 622461.68 478618.25499999936, 622462.64 478618.35999999935, 622461.29 478627.7799999994, 622467.32 478628.6649999994, 622468.7 478619.06499999936, 622468.76 478618.80999999936, 622470.35 478618.94499999937, 622471.13 478614.17499999935, 622472.09 478613.87499999936, 622469.3 478608.1449999994, 622468.49 478603.4499999994)));331;11
handel_region.332;MULTIPOLYGON (((622782.44 478185.42999999935, 622776.8 478193.2749999994, 622771.04 478201.37499999936, 622769.72 478201.3449999994, 622769.54 478204.94499999937, 622769.48 478211.3949999994, 622769.39 478220.7849999994, 622767.17 478220.7699999994, 622767.05 478232.5149999994, 622777.49 478232.60499999934, 622777.58 478221.38499999937, 622779.6799999999 478221.4149999994, 622779.77 478211.48499999935, 622779.98 478205.0349999994, 622780.04 478201.6449999994, 622780.13 478196.5749999994, 622780.61 478195.86999999936, 622785.98 478187.9649999994, 622782.44 478185.42999999935)));332;28
handel_region.333;MULTIPOLYGON (((623660.99 471159.2049999994, 623655.35 471161.1549999994, 623656.58 471164.54499999934, 623653.04 471165.7149999994, 623647.49 471167.54499999934, 623651.12 471178.31499999936, 623656.61 471176.4699999994, 623656.13 471175.0749999994, 623659.94 471173.81499999936, 623661.08 471176.69499999937, 623662.13 471179.37999999936, 623667.38 471176.75499999936, 623666.6 471174.7149999994, 623666.9299999999 471174.5799999994, 623660.99 471159.2049999994)));333;15
handel_region.334;MULTIPOLYGON (((621899.09 479925.11499999935, 621898.61 479923.61499999935, 621896.15 479924.3499999994, 621896.63 479925.86499999935, 621893.39 479926.8399999994, 621895.82 479934.50499999936, 621900.41 479933.10999999935, 621897.98 479925.44499999937, 621899.09 479925.11499999935)));334;3
handel_region.335;MULTIPOLYGON (((622168.25 479589.5199999994, 622175.03 479586.81999999937, 622172.75 479581.1649999994, 622166 479583.8349999994, 622168.25 479589.5199999994)));335;3
handel_region.336;MULTIPOLYGON (((622908.98 480051.0249999994, 622922.33 480045.29499999934, 622919.3 480038.5149999994, 622916.03 480031.23999999935, 622910.54 480033.66999999934, 622913.9 480041.48499999935, 622906.25 480044.9049999994, 622908.98 480051.0249999994)));336;10
handel_region.337;MULTIPOLYGON (((622340.54 481255.7049999994, 622353.35 481252.7649999994, 622346.54 481223.1549999994, 622338.35 481187.4099999994, 622325.54 481190.3349999994, 622340.54 481255.7049999994)));337;59
handel_region.338;MULTIPOLYGON (((622678.82 479628.8349999994, 622684.04 479626.4649999994, 622681.34 479620.37499999936, 622675.88 479622.74499999936, 622675.97 479623.0149999994, 622678.82 479628.8349999994)));338;3
handel_region.339;MULTIPOLYGON (((621860.66 480008.2149999994, 621857 479992.6449999994, 621846.02 479995.4649999994, 621849.65 480010.98999999935, 621860.66 480008.2149999994)));339;12
handel_region.340;MULTIPOLYGON (((622109.99 480034.04499999934, 622111.04 480036.68499999936, 622116.05 480034.67499999935, 622112.36 480025.41999999934, 622107.14 480027.3999999994, 622109.99 480034.04499999934)));340;4
handel_region.341;MULTIPOLYGON (((625861.7 481198.0299999994, 625860.26 481200.7749999994, 625858.25 481199.8449999994, 625855.49 481198.5249999994, 625850.9299999999 481208.4549999994, 625848.83 481213.04499999934, 625853 481214.99499999936, 625854.98 481215.06999999937, 625856.66 481211.18499999936, 625859.21 481212.0849999994, 625863.59 481214.54499999934, 625868.24 481204.3449999994, 625865.78 481203.24999999936, 625866.26 481202.06499999936, 625865.63 481201.73499999935, 625866.41 481200.3249999994, 625861.7 481198.0299999994)));341;13
handel_region.342;MULTIPOLYGON (((622211.33 479867.63499999937, 622200.32 479873.18499999936, 622205.03 479882.48499999935, 622216.01 479876.91999999934, 622211.33 479867.63499999937)));342;9
handel_region.343;MULTIPOLYGON (((622355.96 479936.4549999994, 622350.44 479923.7199999994, 622344.05 479926.47999999934, 622349.54 479939.1399999994, 622355.96 479936.4549999994)));343;6
handel_region.344;MULTIPOLYGON (((622198.52 479772.0399999994, 622194.71 479763.11499999935, 622188.74 479765.60499999934, 622192.55 479774.5749999994, 622198.52 479772.0399999994)));344;4
handel_region.345;MULTIPOLYGON (((623007.6799999999 479519.06499999936, 623015.72 479522.54499999934, 623018 479517.2799999994, 623010.05 479513.8299999994, 623007.6799999999 479519.06499999936)));345;3
handel_region.346;MULTIPOLYGON (((623000.69 479519.31999999937, 623006.45 479521.8249999994, 623007.6799999999 479519.06499999936, 623010.05 479513.8299999994, 623004.26 479511.30999999936, 623003.9299999999 479512.0149999994, 623000.69 479519.31999999937)));346;4
handel_region.347;MULTIPOLYGON (((623035.1 479528.97999999934, 623037.17 479529.93999999936, 623039.99 479525.5749999994, 623031.23 479521.9149999994, 623029.3099999999 479526.3249999994, 623035.1 479528.97999999934)));347;3
handel_region.348;MULTIPOLYGON (((623031.23 479521.9149999994, 623023.94 479518.5849999994, 623020.82 479525.69499999937, 623024.69 479527.49499999936, 623025.92 479524.80999999936, 623029.3099999999 479526.3249999994, 623031.23 479521.9149999994)));348;3
handel_region.349;MULTIPOLYGON (((623035.1 479528.97999999934, 623032.97 479533.5999999994, 623039.03 479536.49499999936, 623044.04 479527.5999999994, 623039.99 479525.5749999994, 623037.17 479529.93999999936, 623035.1 479528.97999999934)));349;4
handel_region.350;MULTIPOLYGON (((623124.65 479520.5799999994, 623118.71 479513.43999999936, 623116.01 479515.7049999994, 623113.13 479518.10499999934, 623110.22 479520.5199999994, 623116.19 479527.6449999994, 623124.65 479520.5799999994)));350;7
handel_region.351;MULTIPOLYGON (((623206.13 479532.7149999994, 623216.69 479526.5799999994, 623207.48 479511.93999999936, 623196.98 479518.04499999934, 623199.74 479522.8299999994, 623205.26 479519.61999999936, 623208.29 479524.8249999994, 623203.25 479527.7649999994, 623206.13 479532.7149999994)));351;12
handel_region.352;MULTIPOLYGON (((623000.69 479519.31999999937, 623003.9299999999 479512.0149999994, 623000.24 479510.36499999935, 622998.89 479510.7849999994, 622996.04 479517.29499999934, 623000.69 479519.31999999937)));352;3
handel_region.353;MULTIPOLYGON (((623061.65 479508.4749999994, 623063.57 479509.55499999935, 623063.57 479509.9749999994, 623076.02 479507.9649999994, 623075.9299999999 479507.48499999935, 623077.91 479505.8349999994, 623071.67 479498.6499999994, 623066.6 479499.75999999937, 623061.65 479508.4749999994)));353;7
handel_region.354;MULTIPOLYGON (((623180.69 479401.3899999994, 623177.03 479393.2899999994, 623171.48 479395.79499999934, 623172.17 479397.3249999994, 623172.17 479397.3399999994, 623170.82 479397.9549999994, 623173.13 479403.0849999994, 623174.42 479402.5149999994, 623175.08 479403.92499999935, 623180.69 479401.3899999994)));354;4
handel_region.355;MULTIPOLYGON (((623482.88 479462.2749999994, 623497.67 479455.2849999994, 623492.87 479445.18999999936, 623478.08 479452.17999999935, 623482.88 479462.2749999994)));355;12
handel_region.356;MULTIPOLYGON (((621776.8099999999 481100.36499999935, 621776.15 481099.9149999994, 621776.57 481099.23999999935, 621772.16 481096.29999999935, 621767.42 481103.43999999936, 621772.46 481106.8449999994, 621776.15 481101.87999999936, 621775.91 481101.72999999934, 621776.8099999999 481100.36499999935)));356;4
handel_region.357;MULTIPOLYGON (((622032.14 480838.23999999935, 622037.15 480836.8449999994, 622033.88 480825.1449999994, 622028.87 480826.5249999994, 622032.14 480838.23999999935)));357;4
handel_region.358;MULTIPOLYGON (((622408.49 480564.6549999994, 622421.45 480560.2149999994, 622409.09 480523.73499999935, 622396.13 480528.12999999936, 622408.49 480564.6549999994)));358;35
handel_region.359;MULTIPOLYGON (((623273.15 480063.50499999936, 623272.52 480060.98499999935, 623271.2 480061.31499999936, 623269.73 480055.61499999935, 623260.01 480058.10499999934, 623262.8 480068.79999999935, 623272.49 480066.30999999936, 623271.83 480063.8349999994, 623273.15 480063.50499999936)));359;8
handel_region.360;MULTIPOLYGON (((623426.09 480173.8449999994, 623433.11 480167.25999999937, 623429.51 480163.4049999994, 623426.48 480166.17999999935, 623422.46 480170.0199999994, 623426.09 480173.8449999994)));360;3
handel_region.361;MULTIPOLYGON (((623209.1 480097.4649999994, 623218.01 480094.2849999994, 623215.94 480088.31499999936, 623206.94 480091.41999999934, 623209.1 480097.4649999994)));361;4
handel_region.362;MULTIPOLYGON (((623287.55 480247.8249999994, 623283.5599999999 480235.0299999994, 623283.89 480234.93999999936, 623286.38 480234.2049999994, 623285.66 480231.7749999994, 623283.17 480232.50999999937, 623282.27 480229.37499999936, 623273.51 480232.1649999994, 623273.03 480232.31499999936, 623278.55 480250.4499999994, 623287.55 480247.8249999994)));362;12
handel_region.363;MULTIPOLYGON (((623593.07 480073.62999999936, 623587.82 480067.80999999936, 623578.34 480076.4649999994, 623583.62 480082.23999999935, 623593.07 480073.62999999936)));363;7
handel_region.364;MULTIPOLYGON (((623486.66 480102.17499999935, 623495.51 480108.5349999994, 623498.75 480105.18999999936, 623489.33 480098.42499999935, 623486.66 480102.17499999935)));364;3
handel_region.365;MULTIPOLYGON (((623321.57 480289.98999999935, 623308.85 480301.6449999994, 623315.33 480310.1649999994, 623315.03 480310.4499999994, 623315.63 480311.1399999994, 623321.1799999999 480305.9499999994, 623320.94 480305.69499999937, 623325.17 480301.7649999994, 623321.57 480289.98999999935)));365;11
handel_region.366;MULTIPOLYGON (((623703.86 480683.49999999936, 623702.12 480677.3949999994, 623691.98 480680.42499999935, 623693.72 480686.43999999936, 623703.86 480683.49999999936)));366;4
handel_region.367;MULTIPOLYGON (((623619.35 480536.16999999934, 623624.0599999999 480551.4549999994, 623632.4 480548.9649999994, 623627.75 480533.5749999994, 623619.35 480536.16999999934)));367;9
handel_region.368;MULTIPOLYGON (((623890.52 479913.0399999994, 623885.69 479906.7249999994, 623881.01 479910.3249999994, 623885.8099999999 479916.62499999936, 623890.52 479913.0399999994)));368;3
handel_region.369;MULTIPOLYGON (((623924.84 479936.0799999994, 623920.55 479930.3499999994, 623915.99 479933.79999999935, 623918.87 479937.60999999935, 623917.34 479938.7649999994, 623918.87 479940.7749999994, 623924.84 479936.0799999994)));369;3
handel_region.370;MULTIPOLYGON (((623933.54 479947.04499999934, 623926.13 479937.24999999936, 623921.57 479940.5349999994, 623928.83 479950.61499999935, 623933.54 479947.04499999934)));370;5
handel_region.371;MULTIPOLYGON (((624279.23 479797.88499999937, 624279.5 479791.7649999994, 624278.87 479791.73499999935, 624279.11 479786.4549999994, 624262.7 479785.61499999935, 624262.88 479783.00499999936, 624259.79 479773.31499999936, 624249.41 479776.68999999936, 624255.38 479795.5299999994, 624257.03 479795.60499999934, 624257 479795.99499999936, 624273.62 479796.86499999935, 624273.59 479797.55499999935, 624279.23 479797.88499999937)));371;26
handel_region.372;MULTIPOLYGON (((624277.07 479772.5349999994, 624277.46 479766.98499999935, 624265.34 479766.05499999935, 624261.65 479767.13499999937, 624263.36 479772.50499999936, 624266.27 479771.69499999937, 624277.07 479772.5349999994)));372;6
handel_region.373;MULTIPOLYGON (((624752.03 479708.6649999994, 624751.34 479706.4149999994, 624751.85 479706.29499999934, 624750.32 479701.10499999934, 624743.0599999999 479702.87499999936, 624744.53 479708.22999999934, 624748.88 479707.04499999934, 624749.6 479709.42999999935, 624752.03 479708.6649999994)));373;3
handel_region.374;MULTIPOLYGON (((624773.3 479723.2149999994, 624775.79 479718.80499999935, 624776.15 479713.49499999936, 624768.83 479715.2049999994, 624766.4 479719.43499999936, 624773.3 479723.2149999994)));374;4
handel_region.375;MULTIPOLYGON (((624652.22 479870.3499999994, 624656.72 479873.7099999994, 624662.21 479877.80499999935, 624671.96 479885.0349999994, 624679.52 479875.0149999994, 624659.84 479860.29999999935, 624652.22 479870.3499999994)));375;21
handel_region.376;MULTIPOLYGON (((625842.95 479608.94499999937, 625842.5 479606.5749999994, 625842.77 479606.1999999994, 625841.72 479605.49499999936, 625841.21 479605.80999999936, 625838.33 479603.9649999994, 625838.27 479603.37999999936, 625837.3099999999 479602.7649999994, 625836.92 479603.37999999936, 625832.33 479604.6549999994, 625833.14 479607.5949999994, 625834.34 479608.37499999936, 625835.87 479608.2849999994, 625836.5 479610.35499999934, 625842.95 479608.94499999937)));376;3
handel_region.377;MULTIPOLYGON (((626606.36 480309.6999999994, 626634.35 480305.97999999934, 626633.99 480302.75499999936, 626626.37 480303.62499999936, 626626.28 480302.93499999936, 626618.54 480303.8349999994, 626618.45 480303.1449999994, 626611.46 480303.9549999994, 626611.4299999999 480303.62499999936, 626611.37 480303.29499999934, 626605.67 480303.9549999994, 626605.58 480303.1599999994, 626601.62 480303.62499999936, 626601.59 480303.29499999934, 626597.9 480303.5949999994, 626597.9 480303.2199999994, 626593.79 480303.60999999935, 626593.76 480303.4149999994, 626593.73 480303.2049999994, 626585.57 480304.11999999936, 626586.35 480311.06499999936, 626597.72 480309.74499999936, 626597.8099999999 480310.7049999994, 626606.36 480309.6999999994)));377;17
handel_region.378;MULTIPOLYGON (((625735.46 480095.75499999936, 625729.76 480085.94499999937, 625726.3099999999 480087.9549999994, 625722.41 480086.7699999994, 625721.15 480090.9549999994, 625717.52 480093.06999999937, 625723.25 480102.87999999936, 625735.46 480095.75499999936)));378;11
handel_region.379;MULTIPOLYGON (((625340.87 480131.73999999935, 625351.73 480128.7849999994, 625349.21 480119.48499999935, 625345.22 480120.6399999994, 625344.44 480117.8949999994, 625341.11 480118.8399999994, 625341.86 480121.55499999935, 625338.32 480122.60499999934, 625340.87 480131.73999999935)));379;8
handel_region.380;MULTIPOLYGON (((624880.37 480025.6599999994, 624883.25 480013.9599999994, 624865.4299999999 480009.60999999935, 624862.67 480021.36999999936, 624880.37 480025.6599999994)));380;15
handel_region.381;MULTIPOLYGON (((625072.13 480004.85499999934, 625080.65 480034.0749999994, 625095.47 480029.81499999936, 625087.01 480000.5799999994, 625072.13 480004.85499999934)));381;31
handel_region.382;MULTIPOLYGON (((625051.76 480043.9599999994, 625056.02 480059.36499999935, 625057.91 480058.85499999934, 625061.66 480066.50499999936, 625061.15 480066.7899999994, 625061.36 480067.19499999937, 625074.74 480059.48499999935, 625079.57 480056.7249999994, 625079.27 480056.22999999934, 625078.97 480056.42499999935, 625077.26 480053.54499999934, 625079.78 480052.8399999994, 625075.3099999999 480037.13499999937, 625068.38 480039.12999999936, 625051.76 480043.9599999994)));382;35
handel_region.383;MULTIPOLYGON (((625213.61 480076.5399999994, 625234.82 480070.3449999994, 625216.46 480006.4149999994, 625200.74 480010.9149999994, 625214.78 480059.7699999994, 625218.62 480058.7049999994, 625220.54 480065.4549999994, 625217.99 480066.2049999994, 625217.12 480067.67499999935, 625217.48 480068.8449999994, 625211.84 480070.49499999936, 625213.61 480076.5399999994)));383;73
handel_region.384;MULTIPOLYGON (((625327.1 480128.5749999994, 625324.7 480119.81499999936, 625319.27 480121.23999999935, 625321.52 480129.98499999935, 625327.1 480128.5749999994)));384;3
handel_region.385;MULTIPOLYGON (((625413.11 480058.8399999994, 625417.73 480075.0999999994, 625431.74 480071.30499999935, 625422.38 480036.6549999994, 625408.37 480040.4049999994, 625409.27 480043.86999999936, 625413.11 480058.8399999994)));385;35
handel_region.386;MULTIPOLYGON (((625347.65 480109.80999999936, 625350.41 480119.1999999994, 625349.78 480119.36499999935, 625352.51 480128.4699999994, 625358.21 480126.8949999994, 625362.23 480125.73999999935, 625359.92 480116.6499999994, 625358.24 480117.0849999994, 625357.34 480114.3249999994, 625355.42 480114.8349999994, 625354.64 480112.5399999994, 625353.23 480107.79999999935, 625347.65 480089.4549999994, 625346.72 480089.7249999994, 625343.84 480080.16999999934, 625343.57 480079.29999999935, 625342.67 480079.56999999937, 625339.07 480080.63499999937, 625347.65 480109.80999999936)));386;22
handel_region.387;MULTIPOLYGON (((625418.15 480140.8899999994, 625413.53 480127.05999999936, 625401.83 480131.0949999994, 625406.45 480144.92499999935, 625418.15 480140.8899999994)));387;12
handel_region.388;MULTIPOLYGON (((624983.87 480324.3999999994, 624993.26 480325.5249999994, 624993.44 480324.1599999994, 624994.16 480317.79999999935, 624994.88 480311.4549999994, 624972.59 480308.73999999935, 624972.47 480309.98499999935, 624969.71 480309.6999999994, 624967.16 480311.6649999994, 624966.89 480314.1399999994, 624965.87 480314.04999999935, 624964.85 480322.04499999934, 624983.87 480324.3999999994)));388;26
handel_region.389;MULTIPOLYGON (((625965.47 480597.5199999994, 625970.57 480615.0849999994, 625981.7 480612.0249999994, 625981.01 480609.50499999936, 625980.71 480609.60999999935, 625976.0599999999 480594.7749999994, 625974.98 480595.04499999934, 625965.47 480597.5199999994)));389;14
handel_region.390;MULTIPOLYGON (((625822.28 480890.63499999937, 625819.01 480891.56499999936, 625821.62 480900.3249999994, 625833.6799999999 480897.0249999994, 625835.51 480893.42499999935, 625833.6799999999 480887.3949999994, 625822.28 480890.63499999937)));390;9
handel_region.391;MULTIPOLYGON (((625933.79 481133.3349999994, 625927.91 481130.99499999936, 625925.42 481136.8449999994, 625931.42 481139.2149999994, 625933.79 481133.3349999994)));391;3
